日付,注文商品の売上額,注文商品の売上額 - B2B,注文された商品点数,注文点数 - B2B,注文品目総数,注文品目総数 - B2B,注文商品あたりの平均売上,注文商品あたりの平均売上 - B2B,品目あたりの平均商品数,品目あたりの平均商品数 - B2B,平均販売価格,平均販売価格 - B2B,セッション数 - 合計,セッション数 - 合計 - B2B,注文商品セッション率,注文商品のセッション率 - B2B,平均出品数
2026/08/01,"￥167,832",￥0,51,0,50,0,"￥3,357",￥0,1.02,0.00,"￥3,291",￥0,"1,028",8,4.86%,0.00%,7
2026/08/02,"￥150,732","￥6,804",47,1,47,1,"￥3,207","￥6,804",1.00,1.00,"￥3,207","￥6,804",969,9,4.85%,11.11%,7
2026/08/03,"￥71,316","￥6,804",24,1,23,1,"￥3,101","￥6,804",1.04,1.00,"￥2,972","￥6,804",746,8,3.08%,12.50%,7
2026/08/04,"￥135,216","￥4,860",40,1,39,1,"￥3,467","￥4,860",1.03,1.00,"￥3,380","￥4,860",646,7,6.04%,14.29%,7
2026/08/05,"￥100,980","￥2,700",34,1,33,1,"￥3,060","￥2,700",1.03,1.00,"￥2,970","￥2,700",626,8,5.27%,12.50%,7
2026/08/06,"￥115,380",￥0,34,0,34,0,"￥3,394",￥0,1.00,0.00,"￥3,394",￥0,637,7,5.34%,0.00%,7
2026/08/07,"￥54,300","￥2,850",15,1,14,1,"￥3,879","￥2,850",1.07,1.00,"￥3,620","￥2,850",264,5,5.30%,20.00%,7
2026/08/08,"￥82,050",￥0,21,0,21,0,"￥3,907",￥0,1.00,0.00,"￥3,907",￥0,290,1,7.24%,0.00%,7
2026/08/09,"￥69,000",￥0,19,0,19,0,"￥3,632",￥0,1.00,0.00,"￥3,632",￥0,322,3,5.90%,0.00%,7
2026/08/10,"￥59,700",￥0,16,0,16,0,"￥3,731",￥0,1.00,0.00,"￥3,731",￥0,241,3,6.64%,0.00%,7
2026/08/11,"￥75,300","￥2,850",22,1,22,1,"￥3,423","￥2,850",1.00,1.00,"￥3,423","￥2,850",279,5,7.89%,20.00%,7
2026/08/12,"￥85,280",￥0,22,0,22,0,"￥3,876",￥0,1.00,0.00,"￥3,876",￥0,269,4,8.18%,0.00%,7
