日付,ポートフォリオ名,キャンペーンの種類,キャンペーン名,国,ステータス,通貨,予算,ターゲティングタイプ,入札戦略,インプレッション,昨年のインプレッション数,クリック数,昨年のクリック数,クリックスルー率（CTR）,広告費,昨年の支出,クリック課金制（CPC）,昨年のクリック単価（CPC）,広告がクリックされてから7日間の合計注文数,広告費売上高比率（ACOS）合計,広告費用対効果（ROAS）合計,広告がクリックされてから7日間の総売上高
"Aug 01, 2026",_itsumo運用分,スポンサープロダクト広告,SP_指名_個包装_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,520,3,0,0,0.0%,¥0.0,¥0.0,¥0.0,¥0.0,0,0.0%,0.0,¥0.0
"Aug 01, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般(ギフト系KW)_おかラングドシャ_itsumo,日本,ENABLED,JPY,¥20000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,9561,,52,,0.544%,¥3308.38,,¥63.6226923,¥0.0,0,0.0%,0.0,¥0.0
"Aug 01, 2026",_itsumo運用分,スポンサープロダクト広告,SP_PT他社_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥20000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,8137,178,22,3,0.27%,¥1272.76,¥82.94,¥57.8527273,¥27.6466667,2,25.455%,3.93,¥5000.0
"Aug 01, 2026",_itsumo運用分,スポンサープロダクト広告,おかラングドシャ_SP_完全一致_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,252,54,0,0,0.0%,¥0.0,¥0.0,¥0.0,¥0.0,0,0.0%,0.0,¥0.0
"Aug 01, 2026",_itsumo運用分,スポンサープロダクト広告,オート_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥10000.0,オートターゲティング,動的な入札 - ダウンのみ,21071,246,75,2,0.356%,¥3709.87,¥70.37,¥49.464933300000006,¥35.185,3,27.413999999999998%,3.65,¥13533.0
"Aug 01, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥100000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,6770,2269,27,7,0.39899999999999997%,¥1221.84,¥467.57,¥45.2533333,¥66.7957143,2,24.437%,4.09,¥5000.0
"Aug 02, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥100000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,9126,8013,37,32,0.40499999999999997%,¥1946.78,¥1964.77,¥52.615675700000004,¥61.3990625,3,25.174999999999997%,3.97,¥7733.0
"Aug 02, 2026",_itsumo運用分,スポンサープロダクト広告,SP_指名_個包装_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,635,,2,,0.315%,¥52.5,,¥26.25,¥0.0,1,2.1%,47.62,¥2500.0
"Aug 02, 2026",_itsumo運用分,スポンサープロダクト広告,SP_PT他社_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥20000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,9645,1631,32,11,0.332%,¥1973.29,¥373.66,¥61.6653125,¥33.9690909,2,22.424%,4.46,¥8800.0
"Aug 02, 2026",_itsumo運用分,スポンサープロダクト広告,おかラングドシャ_SP_完全一致_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,287,194,2,0,0.697%,¥128.0,¥0.0,¥64.0,¥0.0,0,0.0%,0.0,¥0.0
"Aug 02, 2026",_itsumo運用分,スポンサープロダクト広告,オート_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥10000.0,オートターゲティング,動的な入札 - ダウンのみ,26129,731,81,2,0.31%,¥3848.94,¥55.2,¥47.517777800000005,¥27.6,3,51.319%,1.95,¥7500.0
"Aug 02, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般(ギフト系KW)_おかラングドシャ_itsumo,日本,ENABLED,JPY,¥20000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,12715,,49,,0.385%,¥3159.49,,¥64.4793878,¥0.0,3,31.703%,3.15,¥9966.0
"Aug 03, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥100000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,7912,8282,21,25,0.265%,¥1004.58,¥1679.14,¥47.837142899999996,¥67.1656,1,15.946%,6.27,¥6300.0
"Aug 03, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般(ギフト系KW)_おかラングドシャ_itsumo,日本,ENABLED,JPY,¥20000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,10460,,43,,0.411%,¥2602.06,,¥60.51302330000001,¥0.0,0,0.0%,0.0,¥0.0
"Aug 03, 2026",_itsumo運用分,スポンサープロダクト広告,オート_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥10000.0,オートターゲティング,動的な入札 - ダウンのみ,25698,831,67,2,0.261%,¥3080.0,¥52.0,¥45.9701493,¥26.0,1,123.2%,0.81,¥2500.0
"Aug 03, 2026",_itsumo運用分,スポンサープロダクト広告,SP_指名_個包装_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,451,,1,,0.22200000000000003%,¥46.0,,¥46.0,¥0.0,1,1.8399999999999999%,54.35,¥2500.0
"Aug 03, 2026",_itsumo運用分,スポンサープロダクト広告,SP_PT他社_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥20000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,7592,3889,31,29,0.40800000000000003%,¥1837.79,¥1417.21,¥59.2835484,¥48.869310299999995,1,73.512%,1.36,¥2500.0
"Aug 03, 2026",_itsumo運用分,スポンサープロダクト広告,おかラングドシャ_SP_完全一致_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,216,136,1,0,0.46299999999999997%,¥23.0,¥0.0,¥23.0,¥0.0,0,0.0%,0.0,¥0.0
"Aug 04, 2026",_itsumo運用分,スポンサープロダクト広告,オート_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥10000.0,オートターゲティング,動的な入札 - ダウンのみ,17727,515,54,3,0.305%,¥2486.02,¥96.0,¥46.0374074,¥32.0,5,14.624%,6.84,¥17000.0
"Aug 04, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般_オカラングドシャ30本入り個包装_itsumo,日本,ENABLED,JPY,¥100000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,8178,7625,32,18,0.391%,¥1508.79,¥1089.18,¥47.1496875,¥60.51,1,21.302%,4.69,¥7083.0
"Aug 04, 2026",_itsumo運用分,スポンサープロダクト広告,SP_一般(ギフト系KW)_おかラングドシャ_itsumo,日本,ENABLED,JPY,¥20000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,2953,1596,12,6,0.406%,¥629.91,¥329.65,¥52.4925,¥54.9416667,2,8.709%,11.48,¥7233.0
"Aug 04, 2026",_itsumo運用分,スポンサープロダクト広告,おかラングドシャ_SP_完全一致_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,211,340,5,1,2.37%,¥189.0,¥34.0,¥37.8,¥34.0,0,0.0%,0.0,¥0.0
"Aug 04, 2026",_itsumo運用分,スポンサープロダクト広告,SP_指名_個包装_itsumo,日本,ENABLED,JPY,¥10000.0,マニュアルターゲティング,動的な入札 - ダウンのみ,458,,0,,0.0%,¥0.0,,¥0.0,¥0.0,0,0.0%,0.0,¥0.0
